Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Gonets M-05,Russia,127.766922,35.907757,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1497,1510,0.000826,82.5,116.1,270,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2010-043B,37153,2010
Gonets M-11,Russia,127.766922,35.907757,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1497,1508,0.000699,82.4,116,280,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020A,40552,2015
Gonets M-12,Russia,-95.712891,37.09024,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1494,1506,0.000762,82.4,116,280,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020B,40553,2015
Gonets M-13,Russia,-95.712891,37.09024,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1171,1504,0.0216,82.4,116,280,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020C,40554,2015
Gonets M-14,Russia,-95.712891,37.09024,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1482,1507,0.00159,82.49,115.86,270,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048A,39249,2013
Gonets M-16,Russia,-95.712891,37.09024,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1493,1508,0.000953,82.49,116,270,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048B,39250,2013
Gonets M-17,Russia,-95.712891,37.09024,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1494,1509,0.000953,92.49,116.02,270,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048C,39251,2013
Gonets M-18,Russia,-95.712891,37.09024,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1479,1510,0.00197,82.52,115.87,280,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036A,40061,2014
Gonets M-19,Russia,-95.712891,37.09024,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1480,1512,0.00203,82.51,115.89,280,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036B,40062,2014
Gonets M-20,Russia,-95.712891,37.09024,Gonets Satcom,Russia,Commercial/Government,Communications,Earth Science/Meterology,LEO,Polar,0,1478,1509,0.00197,82.51,115.84,280,2180,120,05-Jul,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036C,40063,2014
Alphasat I-XL,United Kingdom,-95.712891,37.09024,"INMARSAT, Ltd./European Space Agency",United Kingdom/ESA,Commercial/Government,Communications/Technology Development,Automatic Identification System (AIS),GEO,Polar,25,35786,35787,1.19E-05,0.02,1436.09,6650,3370,12000,15,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215,2013
GeoEye-1,USA,-95.712891,37.09024,DigitalGlobal Corporation,USA,Commercial/Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,671,686,0.00106,98.1,98.3,1955,2500,14000,7,General Dynamics,USA,Vandenberg AFB,Delta 2,2008-042A,33331,2008
Galileo IOV-1 FM2,Germany,-3.435973,55.378052,European Space Agency,ESA,Commercial,Navigation/Global Positioning,Optical Imaging,MEO,Non-Polar Inclined,0,23242,23307,0.0011,54.67,846.98,700,660,1420,12,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060B,37847,2011
Perseus M2,Russia,105.318756,61.52401,Dauria Aerospace,Russia/USA,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,606,624,0.00129,97.99,96.99,6,10,6,5,Dauria Aerospace/Canopus Systems,Russia/USA,Dombarovsky Air Base,Dnepr,2014-033AD,40037,2014
Azerspace/Africasat-1a,Azerbaijan,-95.712891,37.09024,Ministry of Communications and Information Technologies,Azerbaijan,Government,Communications,Electronic Intelligence,GEO,Equatorial,46,35778,35794,0.00019,0.04,1436.08,3250,1438,10000,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2013-006B,39079,2013
BKA 2,Belarus,-95.712891,37.09024,National Academy of Sciences,Belarus,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,503,507,0.000291,97.5,94.7,400,110,300,5,NPO VNIIEM,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039B,38708,2012
SCD-1,Brazil,-51.925282,-14.235004,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,716,776,0.00422,25,99.7,110,35,70,3,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1993-009B,22491,1993
SCD-2,Brazil,-51.925282,-14.235004,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,130,735,760,0.00176,25,99.8,110,35,70,3,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1998-060A,25504,1998
Microvariability & Oscillations of Stars (MOST),Canada,-106.346771,56.130367,Canadian Space Agency,Canada,Government,Space Science,Earth Science,LEO,Sun-Synchronous,0,817,832,0.00104,98.7,101.4,53,53,35,1 yr.,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,2003-031D,27843,2003
Scisat-1,Canada,-106.346771,56.130367,Canadian Space Agency,Canada,Government,Space Science,Optical Imaging,LEO,Polar,0,638,649,0.000784,73.9,97.6,150,35,80,3,Bristol Aerospace Ltd.,Canada,Vandenberg AFB,Pegasus XL,2003-036A,27858,2003
CBERS 4,China,-95.712891,37.09024,China National Space Administration (China)/National Institute for Space Research (Brazil),China/Brazil,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,738,748,0.000703,98.55,99.67,1980,1450,2300,3,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-079A,40336,2014
Chuangxin 1-1,China,-95.712891,37.09024,Chinese Academy of Sciences,China,Government,Communications,Optical Imaging,LEO,Sun-Synchronous,0,729,748,0.00134,98.5,99.6,100,1450,9500,15,China Academy of Sciences,China,Taiyuan Launch Center,Long March 3B,2003-049B,28058,2003
Chuangxin 1-2,China,-95.712891,37.09024,Chinese Academy of Sciences,China,Government,Earth Observation,Optical Imaging/Meterology,LEO,Sun-Synchronous,0,785,804,0.00133,98.5,98.5,101,1450,9500,15,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056B,33434,2008
Chuangxin 1-3,China,-95.712891,37.09024,Chinese Academy of Sciences,China,Government,Earth Observation,Optical Imaging/Meterology,LEO,Sun-Synchronous,0,784,804,0.0014,98.5,100.7,100,1450,9500,15,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068A,37930,2011
Chuangxin 1-4,China,-95.712891,37.09024,Chinese Academy of Sciences,China,Government,Earth Observation,Optical Imaging/Meterology,LEO,Sun-Synchronous,0,778,809,0.00216,98.46,100.74,100,1450,9500,15,China Academy of Sciences,China ,Jiuquan Satellite Launch Center,Long March 2D,2014-051B,40137,2014
Chuangzin-3,China,-95.712891,37.09024,Chinese Academy of Sciences,China,Government,Technology Development,Optical Imaging/Meterology,LEO,Sun-Synchronous,0,665,672,0.000497,98.03,96.43,200,1450,9500,15,China Academy of Sciences,China,Taiyuan Launch Center,Long March 2C,2013-037B,39209,2013
DAMPE,China,-95.712891,37.09024,Chinese Academy of Science,China,Government,Space Science,Radar Imaging,LEO,Sun-Synchronous,0,488,505,0.00124,97.3,94.54,1850,1,5200,3,Chinese Academy of Science,China,Jiuquan Satellite Launch Center,Long March 2D,2015-078A,41173,2015
Deimos 2,China,-95.712891,37.09024,Deimos Imaging/DMC International Imaging (DMCII),Spain,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,597,619,0.00158,97.99,96.85,310,1,450,10,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,2014-033D,40013,2014
Fengniao 1A,China,-95.712891,37.09024,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,488,500,0.000874,97.35,94.49,160,1100,18000,15,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 2C,2012-064B,38998,2012
Fengyun 2D,China,-95.712891,37.09024,China Meteorological Administration,China,Government,Earth Observation,Earth Science,GEO,Sun-Synchronous,86.51,35777,35791,0.000166,0.77,1436,1390,620,18000,3,China Aerospace Corporation,China,Xichang Satellite Launch Center,Long March 3A,2006-053A,29640,2006
Fengyun 2E,China,-95.712891,37.09024,China Meteorological Administration,China,Government,Earth Observation,Earth Science,GEO,Sun-Synchronous,123.59,35767,35803,0.000427,2.61,1436.04,1390,620,18000,3,Shanghai Academy of Space Flight Technology,China,Xichang Satellite Launch Center,Long March 3A,2008-066A,33463,2008
Fengyun 2F,China,-95.712891,37.09024,China Meteorological Administration,China,Government,Earth Observation,Earth Science,GEO,Sun-Synchronous,105,35760,35816,0.000664,2.19,1436.19,1390,620,18000,3,Shanghai Academy of Space Flight Technology,China,Xichang Satellite Launch Center,Long March 3A,2012-002A,38049,2012
Fengyun 2G,China,-95.712891,37.09024,China Meteorological Administration,China,Government,Earth Observation,Earth Science,GEO,Sun-Synchronous,0,35770,35800,0.000356,2.27,1436.02,1390,620,18000,3,Shanghai Academy of Space Flight Technology,China,Xichang Satellite Launch Center,Long March 3A,2014-090A,40367,2014
Fengyun 3A,China,-95.712891,37.09024,China Meteorological Administration,China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,820,835,0.00104,98.6,101.5,2300,620,18000,3,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2008-026A,32958,2008
Fengyun 3B,China,-95.712891,37.09024,China Meteorological Administration,China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,827,828,6.95E-05,98.8,101.5,2300,620,18000,3,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2010-059A,37214,2010
Fengyun 3C,China,-95.712891,37.09024,China Meteorological Administration,China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,827,828,6.95E-05,98.81,101.45,2300,620,18000,3,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2013-052A,39260,2013
Gaofen 1,China,-95.712891,37.09024,Shanghai Academy of Spaceflight Technology (SAST),China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,630,654,0.00171,98.07,97.56,1000,660,1420,05-Aug,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2013-018A,39150,2013
Gaofen 2,China,-95.712891,37.09024,Shanghai Academy of Spaceflight Technology (SAST),China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,620,636,0.00114,98.02,97.06,1000,660,1420,05-Aug,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2014-049A,40118,2014
Gaofen 4,China,-95.712891,37.09024,China Aerospace Science and Technology Corporation (CASTC),China,Government,Earth Observation,Optical Imaging,GEO,Sun-Synchronous,139,35792,35796,4.74E-05,0.6,1436.1,4600,660,1420,8,China Aerospace Science and Technology Corporation,China,Xichang Satellite Launch Center,Long March 3B,2015-083A,41194,2015
Gaofen 8,China,-95.712891,37.09024,Shanghai Academy of Spaceflight Technology (SAST),China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,484,492,0.000583,97.3,94.36,1000,660,1420,05-Aug,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2015-030A,40701,2015
Gaofen 9,China,-95.712891,37.09024,China Aerospace Science and Technology Corporation (CASTC),China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,618,664,0.00328,98.01,97.54,1000,660,1420,05-Aug,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2015-047A,40894,2015
HJ-1A,China,-95.712891,37.09024,National Remote Sensing Center (NRSCC),China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,628,665,0.00264,97.8,97.7,470,2175,14000,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2008-041A,33320,2008
HJ-1B,China,-95.712891,37.09024,National Remote Sensing Center (NRSCC),China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,621,673,0.00371,97.8,97.7,470,2175,14000,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2008-041B,33321,2008
HJ-1C,China,-95.712891,37.09024,National Committee for Disaster Reduction and State Environmental Protection,China,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,420,438,0.00132,97.33,94.53,890,2175,14000,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2012-064A,38997,2012
Kuaizhou-2,China,104.195396,35.86166,National Academy of Sciences,China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,295,328,0.00247,96.54,90.76,4,1150,1400,15,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Kuaizhou,2014-073A,40311,2014
Shijian 11 01,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,686,703,0.0012,98.1,98.7,5271,2835,12700,3,Chinese Academy of Space Technology (CAST)/ DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2009-061A,36088,2009
Shijian 11 02,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,686,704,0.00127,98.2,98.7,5271,2835,12700,3,Chinese Academy of Space Technology (CAST/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-039A,37765,2011
Shijian 11 03,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,688,703,0.00106,98.2,98.7,5271,2835,12700,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-030A,37730,2011
Shijian 11 05,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,689,704,0.00106,98.1,98.7,5271,2835,12700,3,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2013-035A,39202,2013
Shijian 11 06,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,688,704,0.00113,98.26,98.69,5271,2835,12700,3,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-014A,39624,2014
Shijian 11 07,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,687,705,0.00127,98.12,98.69,5271,2835,12700,3,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-059A,40261,2014
Shijian 11 08,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,690,705,0.00106,98.2,98.6,774,2835,12700,3,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-066A,40286,2014
Shijian 12,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,583,601,0.00129,97.7,96.5,774,2835,12700,3,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-027A,36596,2010
Shijian 15,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,661,673,0.000853,98.06,98.08,774,2835,12700,3,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 3C,2013-037C,39210,2013
Shijian 16 01,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Polar,0,599,616,0.00122,74.98,96.85,774,2835,12700,3,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2013-057A,39358,2013
Shijian 16 02,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,Optical Imaging,LEO,Polar,0,338,594,0.0187,75,96.81,774,2835,12700,3,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2016-043A,41634,2016
Shijian 6A,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,579,606,0.00194,97.8,96.5,774,2835,12700,2,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035A,28413,2004
Shijian 6B,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,587,598,0.00079,97.8,96.5,774,2835,12700,2,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035B,28414,2004
Shijian 6C,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,591,594,0.000215,97.7,96.5,774,2835,12700,2,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046A,29505,2006
Shijian 6D,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,594,595,7.18E-05,97.7,96.6,536,1569,12700,2,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046B,29506,2006
Shijian 6E,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,581,607,0.00187,97.6,96.6,536,1569,2200,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053A,33408,2008
Shijian 6F,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,578,603,0.0018,97.6,96.5,536,1569,2200,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053B,33409,2008
Shijian 6G,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,584,603,0.00136,97.7,96.6,536,1569,2200,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051A,37179,2010
Shijian 6H,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,586,602,0.00115,97.7,96.6,536,1569,2200,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051B,37180,2010
Shijian 7,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,534,591,0.00411,97.7,95.9,536,1569,2200,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Jiuquan Satellite Launch Center,Long March 2D,2005-024A,28737,2005
Shijian 9A,China,104.195396,35.86166,Shanghai Academy of Space Technology (CAST),China,Government,Technology Development,Earth Science,LEO,Sun-Synchronous,0,623,650,0.00193,97.99,97.44,536,1569,2200,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056A,38860,2012
Shijian 9B,China,104.195396,35.86166,Shanghai Academy of Space Technology (CAST),China,Government,Technology Development,Earth Science,LEO,Sun-Synchronous,0,624,651,0.00193,97.99,97.46,536,1569,2200,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056B,38861,2012
Shiyan 1,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,586,601,0.00108,97.5,96.6,204,1569,2200,3,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),China,Xichang Satellite Launch Center,Long March 2C,2004-012A,28220,2004
Shiyan 3,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,785,803,0.00126,98.5,100.8,300,645,2200,3,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056A,33433,2008
Shiyan 4,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,784,802,0.00126,98.4,100.7,300,645,2000,3,CAST/DFH Satellite/HIT,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068B,37931,2011
Shiyan 5,China,104.195396,35.86166,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,739,755,0.00112,97.9,99.7,204,645,2000,3,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2013-068A,39455,2013
Nilesat 102,Egypt,30.802498,26.820553,Egyptian Radio and TV Union ,Egypt,Government,Communications,Earth Science/Meterology,GEO,Non-Polar Inclined,-7.03,35764,35808,0.000522,0.03,1436.08,1825,810,"3,700",15,Matra Marconi,France,Guiana Space Center,Ariane 44LP,2000-046B,26470,2000
Nilesat 201,Egypt,30.802498,26.820553,Egyptian Radio and TV Union ,Egypt,Government,Communications,Earth Science/Meterology,GEO,Non-Polar Inclined,-7,35795,35813,0.000213,0.05,1436.23,3200,1700,"3,700",15,Thales Alenia Space,France,Guiana Space Center,Ariane 5,2010-037A,36830,2010
Cryosat-2,ESA,-95.712891,37.09024,European Space Agency (ESA),ESA,Government,Earth Observation,Radar Imaging,LEO,Polar,0,713,724,0.000776,92,99.2,720,3700,3600,3,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2010-013A,36508,2010
INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL),ESA,5.48493,8.48229,European Space Operations Centre (ESOC)/NASA/Russia,ESA/USA/Russia,Government,Space Science,Meteorology,Elliptical,Deep Highly Eccentric,0,6292,156833,0.856,53.95,4032.86,4000,3414,2000,2,Alenia Aerospazio (and 28 subcontractors),Italy/International,Baikonur Cosmodrome,Proton,2002-048A,27540,2002
Project for On-Board Autonomy (Proba 1),ESA,5.48493,8.48229,European Space Agency (ESA),ESA,Government,Technology Demonstration,Optical Imaging,LEO,Sun-Synchronous,0,553,676,0.00881,97.9,96.98,100,150,100,2,Verhaert Design and Development NV (leading a European consortium),Belgium,Satish Dhawan Space Center,PSLV C3,2001-049B,26958,2001
Project for On-Board Autonomy (Proba 2),ESA,5.48493,8.48229,European Space Agency (ESA),ESA,Government,Technology Demonstration,Optical Imaging,LEO,Sun-Synchronous,0,708,728,0.00141,98.3,99.2,130,150,86,2,Verhaert Design and Development NV (leading a European consortium),Belgium,Plesetsk Cosmodrome,Breeze KM,2009-059B,36037,2009
Proba V,ESA,5.48493,8.48229,European Space Agency (ESA),ESA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,813,820,0.000487,98.73,101.21,140,150,86,2.5,QinetiQ Space Belgium,Belgium,Guiana Space Center,Vega,2013-021A,39159,2013
Rumba,ESA,5.48493,8.48229,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,Optical Imaging,Elliptical,Deep Highly Eccentric,0,17240,120715,0.687,90.8,3431.1,1200,478,224,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045A,26463,2000
Salsa,ESA,5.48493,8.48229,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,Optical Imaging,Elliptical,Deep Highly Eccentric,0,21998,110256,0.609,90.7,3418,1200,478,220,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041A,26410,2000
Samba,ESA,5.48493,8.48229,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,Optical Imaging,Elliptical,Deep Highly Eccentric,0,22017,110791,0.61,132.98,3430.28,1200,478,220,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041B,26411,2000
Sentinel 1A,ESA,5.48493,8.48229,EUMETSAT,ESA,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,691,693,0.000142,98.16,98.61,2300,2146,120,7,Thales Alenia Space Italia,Italy,Guiana Space Center,Soyuz,2014-016A,39634,2014
SMOS,ESA,5.48493,8.48229,Centre National d'Etudes Spatiales (CNES)/European Space Agency,ESA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,759,760,7.01E-05,98.4,100,658,630,1065,3,Thales Alenia Space,France,Plesetsk Cosmodrome,Breeze KM,2009-059A,36036,2009
Calipso,France,-95.712891,37.09024,Centre National d'Etudes Spatiales (CNES)/NASA,France/USA,Government,Earth Science,Optical Imaging,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,587,975,550,3,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,2006-016B,29108,2006
Jason 2,France,2.213749,46.227638,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,USA/France,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1332,1344,0.000778,66,112.4,553,510,500,5,Thales Alenia Space,France,Vandenberg AFB,Delta 2,2008-032A,33105,2008
Jason 3,France,2.213749,46.227638,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,USA/France,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1301,1324,0.0015,66,111.8,553,510,500,5,Thales Alenia Space,France,Vandenberg AFB,Falcon 9,2016-002A,41240,2016
Pléiades HR1A ,France,2.213749,46.227638,"Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden",France/Italy,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,697,699,0.000141,98.2,98.7,1000,150,1500,5,Astrium,France,Guiana Space Center,Soyuz 2/Fregat,2011-076F,38012,2011
